collection;numero;nom_excel;titre_resolu;statut;methode;note;extrait;url
Pilotes F1 champions du monde;10;Denny Hulme;Denny Hulme;ok;direct;;Denis Clive Hulme dit Denny Hulme, né le 18 juin 1936 à Nelson (Nouvelle-Zélande) et mort le 4 octobre 1992 à Bathurst (Australie), est un pilote de course automobile néo-zélandais, qui a notamment disputé  112 Grands Prix de Formule 1 en dix saisons, de 1965 à 1974. Denny Hulme a remporté huit Grands Prix, est monté 33 fois sur le podium et a terminé 61 fois dans les points. Il a réalisé une pole position et neuf meilleurs tours en course.;https://fr.wikipedia.org/wiki/Denny_Hulme
Pilotes F1 champions du monde;11;Jackie Stewart;Jackie Stewart;ok;direct;;Sir John Young Stewart, ou Jackie Stewart, né le 11 juin 1939 à Dumbarton, en Écosse, est un pilote automobile de Formule 1, dont la carrière s'étend de 1965 à 1973, et au cours de laquelle il s'adjuge trois titres de champion du monde. Il met un terme à sa carrière à la veille de son 100e Grand Prix, le 6 octobre 1973 à Watkins Glen alors qu'il a déjà remporté son troisième titre mondial, bouleversé par l'accident mortel de son ami et coéquipier François Cevert qui a lieu le jour même lors des ;https://fr.wikipedia.org/wiki/Jackie_Stewart
Pilotes F1 champions du monde;12;Jochen Rindt;Jochen Rindt;ok;direct;;Jochen Rindt, né le 18 avril 1942 à Mayence (Allemagne) et mort le 5 septembre 1970 à Monza (Italie), est un pilote automobile autrichien d'origine allemande. Présent en Formule 1 de 1964 à 1970, il est sacré champion du monde en 1970 à titre posthume, fait unique dans les annales de la Formule 1. En effet, lors de cette saison, il remporte cinq victoires dont quatre consécutives au volant de sa Lotus 72, si bien que lorsqu'il est victime d'un accident mortel dans la Parabolique lors des essais ;https://fr.wikipedia.org/wiki/Jochen_Rindt
Pilotes F1 champions du monde;13;Emerson Fittipaldi;Emerson Fittipaldi;ok;direct;;Emerson Fittipaldi, né le 12 décembre 1946 à São Paulo, est un pilote automobile brésilien. Il a notamment été le premier pilote de son pays à remporter le championnat du monde de Formule 1 à deux reprises (en 1972 et 1974), ainsi que le championnat CART (1989) et les 500 miles d'Indianapolis (1989 et 1993). Il a été nommé membre de la Laureus World Sports Academy.;https://fr.wikipedia.org/wiki/Emerson_Fittipaldi
Pilotes F1 champions du monde;14;Niki Lauda;Niki Lauda;ok;direct;;"Andreas Nikolaus Lauda dit Niki Lauda, né le 22 février 1949 à Vienne en Autriche et mort le 20 mai 2019 à Zurich en Suisse, est un pilote de course automobile, entrepreneur dans l'aviation commerciale et dirigeant sportif autrichien. 
Il court notamment en Formule 1 de 1971 à 1979, puis de 1982 à 1985, obtient 25 victoires et remporte à trois reprises le titre de champion du monde des pilotes de Formule 1 (1975, 1977 chez Ferrari et 1984 chez McLaren). 
Le 1er août 1976, lors du Grand Prix d'Al";https://fr.wikipedia.org/wiki/Niki_Lauda
Pilotes F1 champions du monde;15;James Hunt;James Hunt;ok;direct;;James Hunt, né le 29 août 1947 à Belmont (en), Angleterre, et mort d'une crise cardiaque le 15 juin 1993 à Wimbledon, est un pilote automobile britannique qui s'est surtout illustré en Formule 1, discipline dans laquelle il a couru de 1973 à 1979 et a remporté le championnat du monde en 1976. Sa rivalité avec Niki Lauda et notamment lors de la saison 1976 est relatée dans le film Rush sorti en 2013 où il est interprété par Chris Hemsworth. En 1980 après avoir quitté la compétition, il devient co;https://fr.wikipedia.org/wiki/James_Hunt
Pilotes F1 champions du monde;16;Mario Andretti;Mario Andretti;ok;direct;;Mario Andretti, né le 28 février 1940 à Montona dans la province d'Istrie, alors en Italie, est un pilote automobile italo-américain. Au cours d'une carrière s'étalant sur près de cinq décennies, il se distingue dans l'histoire du sport automobile en remportant le championnat du monde de Formule 1 en 1978, les 500 miles d'Indianapolis en 1969, les 500 miles de Daytona en 1967 et quatre championnats d'IndyCar (trois sous l'USAC en 1965, 1966 et 1969 et un sous le CART en 1984). Il a également rem;https://fr.wikipedia.org/wiki/Mario_Andretti
Pilotes F1 champions du monde;17;Jody Scheckter;Jody Scheckter;ok;direct;;Jody Scheckter est un ancien pilote automobile sud-africain né le 29 janvier 1950 à East London (Afrique du Sud). Il a notamment disputé 112 Grands Prix de Formule 1 entre 1972 et 1980, décrochant un total de 255 points, signant 10 victoires, 33 podiums, 5 meilleurs tours en course et 3 pole positions. Scheckter a été sacré champion du monde de Formule 1 en 1979.;https://fr.wikipedia.org/wiki/Jody_Scheckter
Pilotes F1 champions du monde;18;Alan Jones;Alan Jones;ok;direct;;Alan Jones est un pilote australien de Formule 1, né le 2 novembre 1946, champion du monde de la discipline en 1980.;https://fr.wikipedia.org/wiki/Alan_Jones
Pilotes F1 champions du monde;19;Nelson Piquet;Nelson Piquet;ok;direct;;Nelson Piquet, né le 17 août 1952 à Rio de Janeiro au Brésil, est un pilote automobile brésilien. Il a notamment remporté le titre de champion du monde de Formule 1 à trois reprises en 1981, 1983 et 1987.;https://fr.wikipedia.org/wiki/Nelson_Piquet
Pilotes F1 champions du monde;20;Keke Rosberg;Keke Rosberg;ok;direct;;Keijo Rosberg, dit Keke Rosberg, né le 6 décembre 1948 à Solna, près de Stockholm (Suède), est un pilote automobile finlandais. Présent en Formule 1 de 1978 à 1986, il a remporté le championnat du monde de Formule 1 1982. Il est le père de Nico Rosberg, champion du monde en 2016.;https://fr.wikipedia.org/wiki/Keke_Rosberg
Pilotes F1 champions du monde;21;Alain Prost;Alain Prost;ok;direct;;Alain Prost, né le 24 février 1955 à Lorette dans le département de la Loire, est un pilote automobile français. Quadruple champion du monde des pilotes de Formule 1 en 1985, 1986, 1989 et 1993, victorieux de 51 Grands Prix de Formule 1 pour 199 départs entre 1980 et 1993, celui que l'on surnomme « Le Professeur » est considéré comme l'un des plus grands pilotes de l'histoire du sport automobile. Michael Schumacher a été le premier à dépasser le total record de 51 victoires que Prost détenait de;https://fr.wikipedia.org/wiki/Alain_Prost
Pilotes F1 champions du monde;22;Ayrton Senna;Ayrton Senna;ok;direct;;Ayrton Senna, de son nom complet Ayrton Senna da Silva (/aˈiʁtõ ˈsẽnɐ dɐ ˈsiwvɐ/), est un pilote automobile brésilien, né le 21 mars 1960 à São Paulo et mort le 1er mai 1994 à Bologne, à la suite d'un accident lors du Grand Prix de Saint-Marin. Idole au Brésil où son statut a dépassé celui de champion sportif, il est considéré comme l'un des plus grands pilotes de l'histoire de la Formule 1 dont il remporte le titre de champion du monde à trois reprises, en 1988, 1990 et 1991, gagnant 41 Grands ;https://fr.wikipedia.org/wiki/Ayrton_Senna
Pilotes F1 champions du monde;23;Nigel Mansell;Nigel Mansell;ok;direct;;Nigel Mansell est un pilote automobile britannique né le 8 août 1953 à Upton-upon-Severn (Worcestershire). Il a pris le départ de 187 Grands Prix de Formule 1, obtenu 482 points, remporté 31 victoires, 32 pole positions et gagné le championnat du monde de Formule 1 en 1992. Il a également triomphé dans le championnat américain d'IndyCar (CART) en 1993.;https://fr.wikipedia.org/wiki/Nigel_Mansell
Pilotes F1 champions du monde;24;Michael Schumacher;Michael Schumacher;ok;direct;;Michael Schumacher (prononcé en allemand : [ˈmɪçaʔeːl ˈʃuːmaxɐ] ), surnommé « Schumi », né le 3 janvier 1969 à Hürth-Hermülheim (RFA), est un pilote automobile allemand. Avec sept titres de champion du monde de Formule 1, 91 victoires en Grand Prix de Formule 1 et 68 pole positions, il possède l’un des plus beaux palmarès de ce sport. Michael Schumacher a détenu la plupart des records de la Formule 1.;https://fr.wikipedia.org/wiki/Michael_Schumacher
Pilotes F1 champions du monde;25;Damon Hill;Damon Hill;ok;direct;;"Damon Graham Devereux Hill, dit Damon Hill, né le 17 septembre 1960 à Hampstead, est un pilote automobile anglais, champion du monde de Formule 1 en 1996. Fils de Graham Hill, titré en 1962 et 1968, il est le premier champion du monde de Formule 1 à avoir succédé à son père au palmarès de son sport, Nico Rosberg l'imitant en 2016.
Lorsque Graham Hill meurt dans un accident d'avion, Damon a quinze ans.";https://fr.wikipedia.org/wiki/Damon_Hill
Pilotes F1 champions du monde;26;Jacques Villeneuve;Jacques Villeneuve;ok;direct;;Jacques Villeneuve, né le 9 avril 1971 à Saint-Jean-sur-Richelieu au Québec, est un pilote automobile canadien québécois, actuellement commentateur des Grands Prix de Formule 1 sur Canal+ depuis 2013 aux côtés de Julien Fébreau. En Formule 1, de 1996 à 2006 (166 départs), il a été sacré champion du monde en 1997 et a remporté onze victoires, dont quatre dès sa première saison, toutes sur Williams-Renault. Il compte également à son palmarès les 500 Miles d'Indianapolis et le championnat CART en 1;https://fr.wikipedia.org/wiki/Jacques_Villeneuve
Pilotes F1 champions du monde;27;Mika Hakkinen;Mika Häkkinen;ok;direct;redirection suivie;Mika Häkkinen, né le 28 septembre 1968 à Vantaa en Finlande, est un pilote automobile finlandais. Il débute en Formule 1 en 1991, et remporte deux fois le titre de champion du monde en 1998 et 1999. Il s'adjuge ses deux championnats avec McLaren-Mercedes en relevant à chaque fois le défi posé par Michael Schumacher et Ferrari, contre qui il se bat encore en 2000 quand le pilote allemand remporte son troisième titre mondial.;https://fr.wikipedia.org/wiki/Mika_H%C3%A4kkinen
Pilotes F1 champions du monde;28;Fernando Alonso;Fernando Alonso;ok;direct;;Fernando Alonso, né le 29 juillet 1981 à Oviedo, est un pilote automobile espagnol, premier champion du monde de Formule 1 de l'histoire de son pays, en 2005, au volant d'une Renault, titre qu'il conserve l'année suivante avec la même écurie. Fernando Alonso totalise 32 victoires en Formule 1 (entre 2003 et 2013) et deux succès aux 24 Heures du Mans lors des éditions 2018 et 2019. En 2022, il dépasse le record du nombre de Grands Prix disputés en Formule 1 détenu auparavant par l'ancien pilote e;https://fr.wikipedia.org/wiki/Fernando_Alonso
Pilotes F1 champions du monde;29;Kimi Raikkonen;Kimi Räikkönen;ok;direct;redirection suivie;"Kimi Räikkönen (prononcé en finnois : /ˈkimiˈræikːønen/), né le 17 octobre 1979 à Espoo en Finlande, est un pilote automobile finlandais, champion du monde de Formule 1 en 2007. Les médias l'ont surnommé Iceman en raison de sa capacité à conserver son sang-froid en toutes circonstances, ainsi que son tempérament assez réservé.
Il fait ses débuts en Formule 1 en 2001, avec l'écurie suisse Sauber.";https://fr.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen
Pilotes F1 champions du monde;30;Lewis Hamilton;Lewis Hamilton;ok;direct;;Lewis Hamilton, né le 7 janvier 1985 à Stevenage (Angleterre), est un pilote automobile britannique, septuple champion du monde de Formule 1 en 2008, 2014, 2015, 2017, 2018, 2019 et 2020. Il est également recordman du nombre de pole positions, de podiums, de courses terminées dans les points, de points en carrière, de tours en tête ainsi que du nombre de victoires. Il est aussi le pilote qui a remporté le plus de victoires sur différents circuits, soit 31 tracés.;https://fr.wikipedia.org/wiki/Lewis_Hamilton
Pilotes F1 champions du monde;31;Jenson Button;Jenson Button;ok;direct;;Jenson Button, né le 19 janvier 1980 à Frome dans le Somerset, est un pilote automobile britannique champion du monde de Formule 1 en 2009  au volant d'une Brawn-Mercedes. Il dispute, de 2000 à 2016, dix-sept saisons dans la discipline, prend 305 départs et totalise 8 pole positions et 15 victoires pour 50 podiums. Il devient MBE en 2009.;https://fr.wikipedia.org/wiki/Jenson_Button
Pilotes F1 champions du monde;32;Sebastian Vettel;Sebastian Vettel;ok;direct;;"Sebastian Vettel (prononcé en allemand : /zeˈbasti̯an ˈfɛtl̩/), né le 3 juillet 1987 à Heppenheim en Allemagne de l'Ouest, est un pilote automobile allemand, vainqueur quatre fois consécutivement du championnat du monde de Formule 1, en 2010, 2011, 2012 et 2013 comme seuls avant lui l'avaient été Juan Manuel Fangio (1954-1957) et Michael Schumacher (2000-2004).
Après avoir été pilote-essayeur pour BMW Sauber F1 Team et fait ses débuts en Formule 1 à l'occasion du Grand Prix des États-Unis 2007, ";https://fr.wikipedia.org/wiki/Sebastian_Vettel
Pilotes F1 champions du monde;33;Nico Rosberg;Nico Rosberg;ok;direct;;Nico Rosberg, né le 27 juin 1985 à Wiesbaden (Allemagne de l'Ouest), est un pilote automobile de double nationalité finlandaise et allemande, champion du monde de Formule 1 en 2016, qui a grandi à Monaco et qui a couru sous licence allemande. Il est le fils du champion du monde de Formule 1 1982 finlandais Keke Rosberg. Il dispute onze saisons en F1, de 2006 à 2016, et prend 206 départs.;https://fr.wikipedia.org/wiki/Nico_Rosberg
Pilotes F1 champions du monde;34;Max Verstappen;Max Verstappen;ok;direct;;"Max Verstappen (prononcé : /mɑks vɛrˈstɑpə(n)/), né le 30 septembre 1997 à Hasselt, en Belgique, est un pilote automobile belgo-néerlandais courant sous licence néerlandaise, quadruple champion du monde de Formule 1 en 2021, 2022, 2023 et 2024.
Fils du pilote Jos Verstappen, il fait ses débuts en Formule 1 au sein de la Scuderia Toro Rosso en 2015 ; il est dès lors, à 17 ans et 166 jours, le plus jeune pilote de l'histoire à prendre le départ d'un Grand Prix puis devient, en Malaisie, le plus je";https://fr.wikipedia.org/wiki/Max_Verstappen
Pilotes F1 champions du monde;35;Lando Norris;Lando Norris;ok;direct;;"Lando Norris, né le 13 novembre 1999 à Bristol (Royaume-Uni), est un pilote automobile britannique, champion du monde de Formule 1 en 2025.
Champion de Formule 3 européenne en 2017, il fait ses débuts en Formule 1 en 2019 chez McLaren aux côtés de Carlos Sainz Jr. et marque ses premiers points à l'arrivée de sa deuxième course, en se classant sixième du Grand Prix de Bahreïn.";https://fr.wikipedia.org/wiki/Lando_Norris
Elements chimiques;1;Hydrogene;Hydrogène;ok;direct;redirection suivie;L'hydrogène est l'élément chimique de numéro atomique 1, de symbole H. L'hydrogène présent sur Terre est presque entièrement constitué de l'isotope 1H (ou protium, comportant un proton et aucun neutron) et d'environ 0,01 % de deutérium 2H (un proton, un neutron). Ces deux isotopes de l'hydrogène sont stables. Un troisième isotope, le tritium 3H (un proton, deux neutrons), instable, est produit dans les réactions de fission nucléaire (réacteurs nucléaires ou bombes).;https://fr.wikipedia.org/wiki/Hydrog%C3%A8ne
Elements chimiques;2;Helium;Hélium;ok;direct;redirection suivie;L’hélium est l'élément chimique de numéro atomique 2, de symbole He. C'est un gaz noble (ou gaz rare), pratiquement inerte, le premier de la famille des gaz nobles dans le tableau périodique des éléments. Son point d'ébullition est le plus bas parmi les corps connus, et il n'existe sous forme solide que s'il est soumis à une pression supérieure à 25 atmosphères.;https://fr.wikipedia.org/wiki/H%C3%A9lium
Elements chimiques;3;Lithium;Lithium;ok;direct;;"Le lithium est l'élément chimique de numéro atomique 3, de symbole Li. C'est un métal alcalin, du premier groupe du tableau périodique des éléments.
Les noyaux atomiques des deux isotopes stables du lithium (6Li et 7Li) comptent parmi ceux ayant l'énergie de liaison par nucléon la plus faible de tous les isotopes stables, ce qui signifie que ces noyaux sont assez peu stables comparés à ceux des autres éléments légers.";https://fr.wikipedia.org/wiki/Lithium
Elements chimiques;4;Beryllium;Béryllium;ok;direct;redirection suivie;Le béryllium est l'élément chimique de numéro atomique 4, de symbole Be. Dans le tableau périodique, c'est le premier représentant des métaux alcalino-terreux. Son nom vient du grec βήρυλλος / beryllos qui désignait l'aigue-marine ou l'émeraude.;https://fr.wikipedia.org/wiki/B%C3%A9ryllium
Elements chimiques;5;Bore;Bore;ok;direct;;"Le bore est l'élément chimique de numéro atomique 5, de symbole « B ». C'est la tête de file du groupe 13 du tableau périodique.
Il fait partie, avec le lithium et le béryllium, des quelques éléments légers absents des principaux processus de nucléosynthèse (nucléosynthèse primordiale et nucléosynthèse stellaire).";https://fr.wikipedia.org/wiki/Bore
